sentiment,tweet_id,date,query,user,text
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
0,1974671472,Sat May 30 13:36:33 PDT 2009,NO_QUERY,crail00,@dickiemaxx  Win a few; lose  few  a  with a 
0,1997882402,Mon Jun 01 17:37:12 PDT 2009,NO_QUERY,ana_leal,@lavjonas tokio hotel and won tokio hotel that's bad 
0,2177756662,Mon Jun 15 06:39:05 PDT 2009,NO_QUERY,x__claireyy__x,"Right, off to work  Only 5 hours to go until I'm free xD"
0,2053681109,Sat Jun 06 05:22:18 PDT 2009,NO_QUERY,karl_goddard,@daibarnes and guess who's landed that plum job? Moi  were hosting big conf on July 1st and sen dep head wants them for then 
0,1880667015,Fri May 22 02:03:41 PDT 2009,NO_QUERY,jocxie,@rabbit_rabid can't sleep... come give me hug... 
0,2302080604,Tue Jun 23 16:18:40 PDT 2009,NO_QUERY,KatieHartnett,@kerriehartnett the stickam isnt working right for me  im so hot and i cannot wait to leave this camp
0,2014269923,Wed Jun 03 00:59:10 PDT 2009,NO_QUERY,BlackCat_Saya,@Rohan_01 You know..it's really sad that u know that ur classmate don't care about you..        sad memories T.T
0,1984899042,Sun May 31 16:01:44 PDT 2009,NO_QUERY,emzanotti,"@bhdonovan Its usually the sulfides. All wines have them, but red wines have a LOT.  "
0,2014591894,Wed Jun 03 02:02:28 PDT 2009,NO_QUERY,kt_xx,dentist soon :S n av had 3 nosebleeds already  today really isnt goin well lolz x
0,2191270369,Tue Jun 16 04:54:54 PDT 2009,NO_QUERY,vanessachelsea,"ow, i can't move my neck or my back   hurts too much and i don't know why D:"
0,1680803942,Sat May 02 12:32:02 PDT 2009,NO_QUERY,MarreNoel,"@michaelflys Im greatt, Wishing i was at bamboozle though, "
0,2252575360,Sat Jun 20 06:33:47 PDT 2009,NO_QUERY,ianhf,"Right time to repair bathroom after flood and also daughter pulled fittings out of wall  Then lawns, then buy boat cover..."
0,2261441236,Sat Jun 20 20:47:47 PDT 2009,NO_QUERY,DiyanaRazinah,"@f_nadzirah cant sleep,go online! hahaha @bobbyden and @faidchong misses you too "
0,2179920246,Mon Jun 15 09:45:55 PDT 2009,NO_QUERY,cowboys4,@oystar_B I'm having the same problem. 
0,1976621237,Sat May 30 18:36:14 PDT 2009,NO_QUERY,epantz,"can't believe it's my last night here! moving out in less than 12 hours. :S. lots to do, and i need some sleep "
0,1976811123,Sat May 30 19:08:46 PDT 2009,NO_QUERY,st3fft,"is so going to fall asleep at work!  beat last week's record of 2 hours, this time, i slept for 1.5hours."
0,2245363011,Fri Jun 19 16:01:35 PDT 2009,NO_QUERY,Shawn0lee2,@DIVACANDICEM - Candice i dont mean to bother you but im really sad that u got released! 
0,2300053959,Tue Jun 23 13:40:33 PDT 2009,NO_QUERY,Livmarie828,"Sitting at work, waiting for the Receptionist to get off lunch so I can go to my dental    I hate it!"
0,2053621342,Sat Jun 06 05:10:32 PDT 2009,NO_QUERY,Donnette,@tennischick38 That is so cool.. I want unlimited passes.. I was thrown in TJail 8 times yesterday &amp; some of them I wasn't even tweeting 
0,2174670572,Sun Jun 14 23:03:05 PDT 2009,NO_QUERY,cjayphillips,ALL NIGHTER. Wish I was with @AngelicaPreston but she has school tomorrow. 
0,2185132665,Mon Jun 15 16:56:07 PDT 2009,NO_QUERY,darrell,@wd8ldy Something can be technically accessible but not as usable as we might like. 
0,2322335317,Wed Jun 24 22:26:21 PDT 2009,NO_QUERY,scarlet121,"@sarking I need to get me one of those. my scale is always adding on lbs, not taking them away.   (or worse, it could be accurate?)"
0,2284232385,Mon Jun 22 13:37:47 PDT 2009,NO_QUERY,davidpetersonh,"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. "
0,2233790720,Thu Jun 18 21:54:22 PDT 2009,NO_QUERY,bug311,Dang it! I hate it when I use the wrong their/they're/there and don't notice it until after I've tweeted it! 
0,1997688151,Mon Jun 01 17:17:07 PDT 2009,NO_QUERY,amnjpngal4eva,seanzy has a boo boo headache 
0,1968239264,Fri May 29 21:02:14 PDT 2009,NO_QUERY,Nikkers,@trniii you're quiet now  are you finally in shock from your lack of sleep?
0,1553109894,Sat Apr 18 13:23:56 PDT 2009,NO_QUERY,MrsDesrosiers,@tommcfly I hope you'll come to Germany one day... I really would like to see you guys live one day! 
0,2208171399,Wed Jun 17 08:52:09 PDT 2009,NO_QUERY,gapscott,@bluefox864 P.S. Totally understand about this weekend. I'm just a temptress. And I don't think we'll be able to make it down this week. 
0,2206174181,Wed Jun 17 06:07:32 PDT 2009,NO_QUERY,ZaLord,@hazemtaji Did you buy a PS3? My xbox360 got the RROD 
0,2174976534,Sun Jun 14 23:46:30 PDT 2009,NO_QUERY,cardoperez,I wish someone would buy ME a bear from Build-a-Bear. 
0,1973938632,Sat May 30 12:07:35 PDT 2009,NO_QUERY,mcraddictal, I don't know what I did. @myhaloromance
0,1824298244,Sun May 17 00:47:52 PDT 2009,NO_QUERY,_ebonyb,this night is a bum 
0,1753020241,Sat May 09 23:49:33 PDT 2009,NO_QUERY,melanie0771,@JoelMadden what was that prob joel 
0,2209414518,Wed Jun 17 10:21:44 PDT 2009,NO_QUERY,Danielaslwk,is going to cry like a little baby at her sister's recital..  she's growing upppp and i'm going to miss it the next four years :/
0,1972485657,Sat May 30 09:18:55 PDT 2009,NO_QUERY,elliejanexo,Actually i want the mac book pro the mouse is so cool but its only ï¿½1369 .99 
0,2175302784,Mon Jun 15 00:36:56 PDT 2009,NO_QUERY,sawarahh,@cathicks I don't get it. 
0,2264873983,Sun Jun 21 05:11:06 PDT 2009,NO_QUERY,SazzyMCH,I am not poorly sick like @loobydo but I am not a happy bunny - I ache 
0,2262060462,Sat Jun 20 21:49:04 PDT 2009,NO_QUERY,SloaneJB,"@montipython yes again! i wont have my pictures up until late tomorrow, i'm on my laptop in the hotel but i forgot my camera cord "
0,1986467604,Sun May 31 18:52:28 PDT 2009,NO_QUERY,Samantha_Swing,@StealingKitty did I miss Megan Fox?. I had to leave my house. 
0,2259318896,Sat Jun 20 17:22:47 PDT 2009,NO_QUERY,wafiqairudin,Didn't get to go to JP yesterday 
0,2055097944,Sat Jun 06 08:41:37 PDT 2009,NO_QUERY,pinkykei,needs heLp from a wordpress theme expert  http://plurk.com/p/ywsk3
0,2204351031,Wed Jun 17 01:59:33 PDT 2009,NO_QUERY,andrewneary,"Watching a progress bar go across the screen. Very, very dull and tedious. "
0,2179596492,Mon Jun 15 09:19:16 PDT 2009,NO_QUERY,DJMissfrenchie,"Been working hard. London had glorious weather, came back to Kent and it was raining "
0,2067619204,Sun Jun 07 12:39:52 PDT 2009,NO_QUERY,Joe_McHugh,eaten way too much junk food. feel as if i'm about to explode! not good 
0,2234837576,Thu Jun 18 23:51:30 PDT 2009,NO_QUERY,Critic6881,"WOW, Steph and John and pretty much everyone else did better on How well do you know Billy than me. "
0,2195111812,Tue Jun 16 10:41:40 PDT 2009,NO_QUERY,karlaxxann,history &amp;&amp; english finals tomorrow.... ugh    
0,2190948506,Tue Jun 16 04:09:06 PDT 2009,NO_QUERY,JessicaPearman,http://vibejournal.com/jessica_art/ needs a new home 
0,2265520791,Sun Jun 21 06:45:48 PDT 2009,NO_QUERY,Yuecake,"Midsummer festival in WoW has began, so much fun, I can't catch the damn torches though  Any tips??"
0,1975450887,Sat May 30 15:11:01 PDT 2009,NO_QUERY,ClassyFreshCool,.. I just took a look around and realized that I'm basically in this by myself .. I miss Brandon  but he's all the way in Cali .. FML
0,1984948951,Sun May 31 16:07:37 PDT 2009,NO_QUERY,camacieira,no telefone com @virnamaximo ! I MISS YOU SO MUCH GIRL !! 
0,2302864381,Tue Jun 23 17:24:09 PDT 2009,NO_QUERY,dareeen,"@brandeezyplz  i sorry, most girls are like that and it's sad."
0,2215147702,Wed Jun 17 17:44:33 PDT 2009,NO_QUERY,oldergirlbeauty,"@mallybeauty Can. Not. Wait!  I will stay up to see what goodies you bring, since I am still waitlisted for you TSV.  "
0,1996545142,Mon Jun 01 15:15:55 PDT 2009,NO_QUERY,eraley,is worn the fuck out 
0,2237834545,Fri Jun 19 06:25:55 PDT 2009,NO_QUERY,simba909,Shopping with sis and Alex... I don't feel like shopping when on vacation 
0,2000611314,Mon Jun 01 22:30:59 PDT 2009,NO_QUERY,leighruyle,"@laurapearl ok, you win. or lose, as it appears. "
0,1998629734,Mon Jun 01 18:52:03 PDT 2009,NO_QUERY,trucco905,"@sardun What?!!! well that's not good  SORRY honey I was convinced that i did. I'm sending u one asap, I'll send you level 2 so u can glow"
0,2065415862,Sun Jun 07 08:33:00 PDT 2009,NO_QUERY,elektrisitee,It sucks when i am finally getting comfortable with the guy im dating and my friend decides to spoon me. 
0,2297938593,Tue Jun 23 11:03:32 PDT 2009,NO_QUERY,nikkijfan2537,The concert was amazing. But i lost my voice 
0,2233967431,Thu Jun 18 22:11:55 PDT 2009,NO_QUERY,bradwhiteau,"@Hoops_angel Yup, sold out...I tried to get another one last week and all gone  Still looking round but nothing yet."
